/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/SHD/dataset/shddataset/
The file is present.
tensor([[-1.6044,  0.4729, -2.4271,  ...,  0.1904, -1.1197, -1.4282],
        [ 0.3887, -0.7843, -0.6588,  ..., -0.3656, -0.6211, -1.1720],
        [-0.3856, -1.1471, -0.4307,  ...,  0.6913, -0.7211, -1.0215],
        ...,
        [-0.0080, -0.2538, -0.9702,  ..., -1.1901, -0.5222,  0.6477],
        [ 0.5920,  1.0174,  1.0977,  ..., -0.2145, -0.4894, -0.1639],
        [-0.6937,  0.3161, -0.5045,  ..., -0.8619, -0.6123, -1.0198]],
       device='cuda:0', requires_grad=True)
tensor([[ 0.2241,  0.9458, -2.0821,  ..., -0.6025, -0.0052, -0.2620],
        [-0.8491, -0.8706,  0.4532,  ...,  0.4946, -0.5669, -1.5401],
        [-2.5729,  0.6892, -0.8113,  ..., -0.0893, -0.8501,  0.3688],
        ...,
        [-2.4287, -1.9116, -1.3283,  ..., -2.7402, -3.3932, -1.9269],
        [-1.1485,  0.5633, -1.6684,  ..., -0.1708,  1.8651,  0.9164],
        [-0.2138,  0.2835, -1.1681,  ..., -0.8012, -1.5062, -0.5599]],
       device='cuda:0', requires_grad=True)
tensor([[ 0.3730, -0.7199, -2.7721,  ..., -0.5563, -2.0616, -1.1178],
        [-0.2028, -0.2531, -1.2940,  ..., -0.2246, -1.7258, -1.0482],
        [-0.5435, -0.1332, -3.4372,  ..., -0.8261, -1.0437, -1.9632],
        ...,
        [-1.2031,  0.6812, -0.6977,  ...,  1.0181, -0.2643, -1.5972],
        [-0.7280, -0.2888, -2.3855,  ..., -0.1570, -2.9318, -1.6714],
        [-1.0321, -0.5443, -2.7570,  ..., -0.3563, -2.8538, -2.0518]],
       device='cuda:0', requires_grad=True)
Epoch 329: loss=0.55594
Epoch 330: loss=0.55119
Epoch 331: loss=0.55041
Epoch 332: loss=0.56058
Epoch 333: loss=0.56944
Epoch 334: loss=0.55919
Epoch 335: loss=0.57630
Epoch 336: loss=0.55830
Epoch 337: loss=0.54479
Epoch 338: loss=0.58799
Epoch 339: loss=0.57451
Epoch 340: loss=0.55219
Epoch 341: loss=0.56467
Epoch 342: loss=0.58339
Epoch 343: loss=0.58456
Epoch 344: loss=0.60572
Epoch 345: loss=0.59700
Epoch 346: loss=0.57765
Epoch 347: loss=0.58193
Epoch 348: loss=0.58333
Epoch 349: loss=0.58754
Epoch 350: loss=0.55062
Epoch 351: loss=0.60727
Epoch 352: loss=0.58869
Epoch 353: loss=0.56689
Epoch 354: loss=0.57796
Epoch 355: loss=0.61711
Epoch 356: loss=0.59105
Epoch 357: loss=0.55614
Epoch 358: loss=0.57082
Epoch 359: loss=0.58321
Epoch 360: loss=0.59302
Epoch 361: loss=0.58655
Epoch 362: loss=0.62332
Epoch 363: loss=0.59205
Epoch 364: loss=0.58386
Epoch 365: loss=0.56406
Epoch 366: loss=0.57005
Epoch 367: loss=0.52603
Epoch 368: loss=0.55646
Epoch 369: loss=0.54289
Epoch 370: loss=0.57699
Epoch 371: loss=0.57675
Epoch 372: loss=0.58178
Epoch 373: loss=0.58390
Epoch 374: loss=0.56564
Epoch 375: loss=0.55070
Epoch 376: loss=0.57821
Epoch 377: loss=0.53432
Epoch 378: loss=0.57785
Epoch 379: loss=0.57231
Epoch 380: loss=0.55975
Epoch 381: loss=0.56329
Epoch 382: loss=0.57575
Epoch 383: loss=0.57880
Epoch 384: loss=0.54177
Epoch 385: loss=0.58309
Epoch 386: loss=0.56179
Epoch 387: loss=0.59336
Epoch 388: loss=0.59637
Epoch 389: loss=0.55755
Epoch 390: loss=0.54074
Epoch 391: loss=0.58944
Epoch 392: loss=0.58106
Epoch 393: loss=0.57138
Epoch 394: loss=0.56728
Epoch 395: loss=0.58555
Epoch 396: loss=0.59543
Epoch 397: loss=0.58108
Epoch 398: loss=0.58801
Epoch 399: loss=0.53725
Epoch 400: loss=0.55877
Epoch 401: loss=0.55554
Epoch 402: loss=0.58272
Epoch 403: loss=0.57334
Epoch 404: loss=0.57499
Epoch 405: loss=0.56177
Epoch 406: loss=0.55749
Epoch 407: loss=0.59232
Epoch 408: loss=0.60481
Epoch 409: loss=0.60893
Epoch 410: loss=0.57275
Epoch 411: loss=0.57097
Epoch 412: loss=0.58380
Epoch 413: loss=0.58112
Epoch 414: loss=0.55041
Epoch 415: loss=0.57283
Epoch 416: loss=0.56586
Epoch 417: loss=0.57650
Epoch 418: loss=0.57299
Epoch 419: loss=0.56697
Epoch 420: loss=0.56502
Epoch 421: loss=0.60350
Epoch 422: loss=0.56501
Epoch 423: loss=0.56187
Epoch 424: loss=0.55934
Epoch 425: loss=0.56992
Epoch 426: loss=0.56137
Epoch 427: loss=0.56895
Epoch 428: loss=0.57903
Epoch 429: loss=0.58691
Epoch 430: loss=0.58710
Epoch 431: loss=0.55857
Epoch 432: loss=0.59396
Epoch 433: loss=0.56621
Epoch 434: loss=0.58372
Epoch 435: loss=0.58251
Epoch 436: loss=0.60028
Epoch 437: loss=0.55133
Epoch 438: loss=0.60218
Epoch 439: loss=0.55502
Epoch 440: loss=0.54982
Epoch 441: loss=0.57084
Epoch 442: loss=0.58253
Epoch 443: loss=0.58055
Epoch 444: loss=0.60553
Epoch 445: loss=0.61421
Epoch 446: loss=0.57431
Epoch 447: loss=0.56096
Epoch 448: loss=0.56698
Epoch 449: loss=0.55894
Epoch 450: loss=0.60527
Epoch 451: loss=0.58097
Epoch 452: loss=0.63103
Epoch 453: loss=0.58675
Epoch 454: loss=0.61471
Epoch 455: loss=0.56273
Epoch 456: loss=0.58081
Epoch 457: loss=0.57411
Epoch 458: loss=0.60370
Epoch 459: loss=0.55547
Epoch 460: loss=0.58243
Epoch 461: loss=0.55551
Epoch 462: loss=0.55955
Epoch 463: loss=0.57223
Epoch 464: loss=0.58225
Epoch 465: loss=0.57183
Epoch 466: loss=0.57082
Epoch 467: loss=0.58550
Epoch 468: loss=0.59083
Epoch 469: loss=0.57294
Epoch 470: loss=0.58364
Epoch 471: loss=0.59107
Epoch 472: loss=0.58557
Epoch 473: loss=0.57502
Epoch 474: loss=0.59709
Epoch 475: loss=0.58285
Epoch 476: loss=0.56545
Epoch 477: loss=0.56460
Epoch 478: loss=0.61463
Epoch 479: loss=0.56573
Epoch 480: loss=0.58070
Epoch 481: loss=0.58938
Epoch 482: loss=0.57684
Epoch 483: loss=0.57701
Epoch 484: loss=0.60671
Epoch 485: loss=0.60049
Epoch 486: loss=0.58285
Epoch 487: loss=0.58677
Epoch 488: loss=0.61143
Epoch 489: loss=0.56319
Epoch 490: loss=0.54028
Epoch 491: loss=0.58395
Epoch 492: loss=0.57583
Epoch 493: loss=0.57561
Epoch 494: loss=0.59275
Epoch 495: loss=0.55308
Epoch 496: loss=0.57344
Epoch 497: loss=0.57993
Epoch 498: loss=0.56841
