/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/SHD/dataset/shddataset/
The file is present.
tensor([[-0.3736, -0.2455, -0.2761,  ..., -0.2507, -0.0999, -0.2041],
        [-0.6135, -0.0575, -0.3016,  ..., -0.1898, -0.2959,  0.0298],
        [-0.7343, -0.1748, -0.3905,  ..., -0.0220,  0.0534, -0.4840],
        ...,
        [-0.3045, -0.2113, -0.0228,  ..., -0.1193, -0.2526, -0.1382],
        [-0.3156, -0.2966, -0.2647,  ..., -0.4898, -0.2091, -0.0882],
        [-0.3192,  0.1217,  0.0259,  ..., -0.1116, -0.2686, -0.0308]],
       device='cuda:0', requires_grad=True)
tensor([[-1.1935e-01,  2.5824e-01, -7.6443e-01,  ..., -1.9459e-02,
Epoch 343: loss=0.90572
Epoch 344: loss=0.89666
Epoch 345: loss=0.90218
Epoch 346: loss=0.89830
Epoch 347: loss=0.89517
Epoch 348: loss=0.89945
Epoch 349: loss=0.90161
Epoch 350: loss=0.89837
Epoch 351: loss=0.89511
Epoch 352: loss=0.91026
Epoch 353: loss=0.89663
Epoch 354: loss=0.90161
Epoch 355: loss=0.89836
Epoch 356: loss=0.90453
Epoch 357: loss=0.89767
Epoch 358: loss=0.89332
Epoch 359: loss=0.89690
Epoch 360: loss=0.89626
Epoch 361: loss=0.89175
Epoch 362: loss=0.89275
Epoch 363: loss=0.89391
Epoch 364: loss=0.89333
Epoch 365: loss=0.89235
Epoch 366: loss=0.89836
Epoch 367: loss=0.89418
Epoch 368: loss=0.90341
Epoch 369: loss=0.89503
Epoch 370: loss=0.90528
Epoch 371: loss=0.90422
Epoch 372: loss=0.89553
Epoch 373: loss=0.89612
Epoch 374: loss=0.89015
Epoch 375: loss=0.89528
Epoch 376: loss=0.89558
Epoch 377: loss=0.89688
Epoch 378: loss=0.89379
Epoch 379: loss=0.89902
Epoch 380: loss=0.89414
Epoch 381: loss=0.89418
Epoch 382: loss=0.88988
Epoch 383: loss=0.89575
Epoch 384: loss=0.89915
Epoch 385: loss=0.90738
Epoch 386: loss=0.89600
Epoch 387: loss=0.90124
Epoch 388: loss=0.90212
Epoch 389: loss=0.89577
Epoch 390: loss=0.88773
Epoch 391: loss=0.90162
Epoch 392: loss=0.89269
Epoch 393: loss=0.89758
Epoch 394: loss=0.88626
Epoch 395: loss=0.88536
Epoch 396: loss=0.89585
Epoch 397: loss=0.90731
Epoch 398: loss=0.89708
Epoch 399: loss=0.89620
Epoch 400: loss=0.89707
Epoch 401: loss=0.89671
Epoch 402: loss=0.88179
Epoch 403: loss=0.89909
Epoch 404: loss=0.88642
Epoch 405: loss=0.89590
Epoch 406: loss=0.88864
Epoch 407: loss=0.88826
Epoch 408: loss=0.89084
Epoch 409: loss=0.88075
Epoch 410: loss=0.89273
Epoch 411: loss=0.89214
Epoch 412: loss=0.89487
Epoch 413: loss=0.89899
Epoch 414: loss=0.89111
Epoch 415: loss=0.89088
Epoch 416: loss=0.89227
Epoch 417: loss=0.89611
Epoch 418: loss=0.88627
Epoch 419: loss=0.89464
Epoch 420: loss=0.88971
Epoch 421: loss=0.89844
Epoch 422: loss=0.90041
Epoch 423: loss=0.89038
Epoch 424: loss=0.88867
Epoch 425: loss=0.89687
Epoch 426: loss=0.90162
Epoch 427: loss=0.89544
Epoch 428: loss=0.89365
Epoch 429: loss=0.88837
Epoch 430: loss=0.89332
Epoch 431: loss=0.88867
Epoch 432: loss=0.89472
Epoch 433: loss=0.88768
Epoch 434: loss=0.89576
Epoch 435: loss=0.89374
Epoch 436: loss=0.88700
Epoch 437: loss=0.89815
Epoch 438: loss=0.89710
Epoch 439: loss=0.89431
Epoch 440: loss=0.89221
Epoch 441: loss=0.89528
Epoch 442: loss=0.89261
Epoch 443: loss=0.89552
Epoch 444: loss=0.88136
Epoch 445: loss=0.88868
Epoch 446: loss=0.88366
Epoch 447: loss=0.88915
Epoch 448: loss=0.89808
Epoch 449: loss=0.89424
Epoch 450: loss=0.88382
Epoch 451: loss=0.88599
Epoch 452: loss=0.88708
Epoch 453: loss=0.89308
Epoch 454: loss=0.88920
Epoch 455: loss=0.88308
Epoch 456: loss=0.88008
Epoch 457: loss=0.88142
Epoch 458: loss=0.88573
Epoch 459: loss=0.88553
Epoch 460: loss=0.88354
Epoch 461: loss=0.88344
Epoch 462: loss=0.89037
Epoch 463: loss=0.87944
Epoch 464: loss=0.88853
Epoch 465: loss=0.88400
Epoch 466: loss=0.88845
Epoch 467: loss=0.88978
Epoch 468: loss=0.88787
Epoch 469: loss=0.87905
Epoch 470: loss=0.88325
Epoch 471: loss=0.88351
Epoch 472: loss=0.88354
Epoch 473: loss=0.88557
Epoch 474: loss=0.88709
Epoch 475: loss=0.88611
Epoch 476: loss=0.88887
Epoch 477: loss=0.88391
Epoch 478: loss=0.88876
Epoch 479: loss=0.87984
Epoch 480: loss=0.89341
Epoch 481: loss=0.88608
Epoch 482: loss=0.87840
Epoch 483: loss=0.88385
Epoch 484: loss=0.88126
Epoch 485: loss=0.88433
Epoch 486: loss=0.88149
Epoch 487: loss=0.88071
Epoch 488: loss=0.88016
Epoch 489: loss=0.88460
Epoch 490: loss=0.87397
Epoch 491: loss=0.87926
Epoch 492: loss=0.88110
Epoch 493: loss=0.88291
Epoch 494: loss=0.88469
